,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
102,0.359,38.5,4.625,37.5,1617814754.0291643,7.655
103,0.322,37.5,4.019,36.5,1617814755.0803716,6.421
104,0.912,35.0,0.0,34.5,1617814756.1308577,3.4
105,0.483,37.0,3.376,36.5,1617814757.1849685,6.511
106,0.321,37.5,3.972,37.0,1617814758.2305236,6.942
107,0.318,38.0,4.737,38.0,1617814759.2801838,7.535
108,0.321,38.5,4.173,37.0,1617814760.3257356,6.953
109,0.324,37.5,3.392,37.0,1617814761.379023,6.682
110,0.322,38.0,4.093,37.5,1617814762.4279654,7.211
111,0.354,39.0,5.156,38.5,1617814763.4837387,8.856
112,0.829,35.5,0.165,35.5,1617814764.5331674,3.561
113,0.789,35.0,0.0,35.5,1617814765.583956,3.436
114,0.323,37.5,3.451,37.0,1617814766.6393523,6.712
115,0.361,38.5,4.126,37.5,1617814767.6872551,6.902
116,0.394,39.0,4.809,38.5,1617814768.743767,8.371
117,0.404,38.0,3.513,38.0,1617814769.788013,6.269
118,0.361,38.5,3.972,38.0,1617814770.8376412,7.022
119,0.359,40.0,4.585,38.5,1617814771.8818407,7.575
120,0.361,39.0,3.972,38.5,1617814772.9275668,6.942
121,0.707,36.0,0.0,36.0,1617814773.977228,3.483
122,0.738,36.5,1.187,36.5,1617814775.0192852,4.457
123,0.362,39.0,3.617,38.0,1617814776.065548,6.671
124,0.397,39.5,4.65,39.0,1617814777.1120963,7.75
125,0.398,40.0,4.577,39.0,1617814778.1571298,7.643
126,0.322,38.5,3.376,38.0,1617814779.2034657,6.642
127,0.281,40.5,4.166,39.0,1617814780.2526174,7.011
128,0.398,40.5,4.674,39.5,1617814781.3074272,8.147
129,1.594,38.5,0.245,37.0,1617814782.368138,4.751
130,0.707,36.5,0.0,36.5,1617814783.4137843,3.198
131,0.438,39.0,3.867,38.5,1617814784.4736593,7.416
132,0.321,40.0,4.166,38.5,1617814785.5235143,6.942
133,0.318,40.0,4.465,39.5,1617814786.5720828,7.603
134,1.415,39.0,2.463,38.5,1617814787.6173809,6.451
135,0.363,40.5,3.669,38.5,1617814788.664454,6.752
136,0.437,41.0,4.53,39.5,1617814789.7114847,7.975
137,0.319,41.5,4.625,40.0,1617814790.758327,7.762
138,0.829,37.0,0.0,37.5,1617814791.8045707,3.359
139,2.082,37.5,0.0,36.5,1617814792.8637729,4.539
140,0.323,39.5,3.3,38.5,1617814793.9152935,6.4
141,0.319,41.5,4.57,40.0,1617814794.962308,7.603
142,0.318,41.5,4.721,40.0,1617814796.0122452,7.936
143,0.279,40.5,4.266,39.5,1617814797.0709252,7.2
144,0.321,41.0,3.972,39.5,1617814798.11569,6.902
145,0.358,42.0,4.538,40.5,1617814799.1615076,7.643
146,1.18,39.0,1.302,38.5,1617814800.2198074,5.218
147,0.707,37.5,0.0,38.0,1617814801.2672768,3.359
148,0.562,40.0,2.889,40.0,1617814802.3201475,6.84
149,0.361,41.0,4.006,40.0,1617814803.3659654,6.931
150,0.358,41.0,4.458,40.5,1617814804.4138882,7.523
151,0.321,41.0,4.012,40.5,1617814805.460262,6.832
152,0.323,40.5,3.392,40.0,1617814806.5086966,6.178
153,0.359,41.5,4.465,40.5,1617814807.5568912,7.495
154,0.355,42.0,4.785,41.0,1617814808.6074736,8.081
155,0.95,39.0,0.165,38.0,1617814809.6551502,3.519
156,0.99,38.0,0.0,38.5,1617814810.7024412,3.348
157,0.361,40.5,3.491,40.0,1617814811.7489612,6.58
158,0.321,42.0,3.88,40.5,1617814812.796851,6.92
159,0.393,42.5,4.786,41.0,1617814813.8520124,8.552
160,0.364,41.5,3.473,41.0,1617814814.8965065,6.178
161,0.361,42.5,3.886,41.0,1617814815.9411929,6.931
162,0.318,42.5,4.65,41.5,1617814816.9903326,7.67
163,0.321,42.5,4.046,41.0,1617814818.0359216,6.891
164,0.706,39.0,0.0,39.0,1617814819.0819123,3.317
165,0.441,41.0,3.325,40.5,1617814820.1358087,6.72
166,1.031,43.0,4.001,41.5,1617814821.3604224,8.108
167,1.259,43.5,4.44,42.0,1617814822.4077764,8.698
168,1.236,43.0,4.06,42.0,1617814823.4838517,7.707
169,1.483,40.5,0.0,39.5,1617814824.5339508,4.403
170,0.866,39.5,0.0,39.5,1617814825.581325,3.827
171,0.317,41.5,3.961,41.0,1617814827.0123427,7.539
172,1.069,43.5,4.067,41.5,1617814828.061537,7.949
173,0.396,43.5,4.62,42.5,1617814829.1093931,8.068
174,1.347,41.0,0.733,40.0,1617814830.160445,5.177
175,1.483,40.5,0.0,40.5,1617814831.2140636,4.355
176,1.238,43.5,3.428,42.0,1617814832.2641876,7.376
177,0.717,43.5,3.94,42.0,1617814833.3135042,7.67
178,1.834,45.5,4.599,43.0,1617814834.3641217,9.354
179,1.353,44.5,4.014,42.5,1617814835.4126668,7.961
180,1.161,43.0,3.405,42.0,1617814836.4579487,7.291
181,1.232,44.5,4.285,42.5,1617814837.502655,8.293
182,1.173,45.0,5.027,43.5,1617814838.5577607,9.603
183,1.64,42.0,0.164,40.5,1617814839.6120973,4.403
184,1.602,41.0,0.0,40.5,1617814840.6633234,3.95
185,1.156,44.0,3.428,42.0,1617814841.708491,7.376
186,1.071,44.5,3.921,42.5,1617814842.7563057,7.843
187,1.052,45.5,4.864,43.0,1617814843.8144517,9.299
188,0.604,43.0,3.502,42.5,1617814844.8592582,6.953
189,1.036,44.0,3.98,43.0,1617814845.9039314,7.921
190,1.105,45.5,4.699,43.5,1617814846.952978,8.816
191,1.54,45.5,4.1,43.5,1617814848.003634,8.856
192,1.684,42.0,0.0,41.5,1617814849.05781,4.478
193,0.602,43.0,2.964,42.5,1617814850.1149263,6.45
194,0.438,44.5,3.901,43.0,1617814851.1600225,7.324
195,0.434,45.0,4.652,43.5,1617814852.2083023,8.121
196,0.398,45.5,4.299,43.5,1617814853.252473,7.416
197,0.401,43.5,3.456,43.0,1617814854.299856,6.631
198,0.361,44.5,3.92,43.0,1617814855.3501143,7.12
199,0.47,45.5,5.005,44.0,1617814856.405841,8.798
200,1.032,42.5,0.164,41.5,1617814857.4526238,3.956
201,0.906,41.5,0.0,42.0,1617814858.5064745,3.585
202,0.398,44.0,3.309,43.0,1617814859.5584762,7.028
203,0.359,45.0,4.066,43.5,1617814860.6044064,7.137
204,0.357,45.5,4.674,44.5,1617814861.654294,7.764
205,1.008,44.5,3.099,43.5,1617814862.695941,6.44
206,0.361,45.0,3.966,44.0,1617814863.7417486,7.0
207,0.396,45.5,4.674,44.5,1617814864.791797,7.923
208,0.357,45.5,4.635,44.5,1617814865.849051,7.816
209,0.789,42.0,0.0,42.0,1617814866.8966,3.281
210,1.474,42.0,0.408,41.5,1617814867.940745,4.457
211,0.362,44.0,3.381,43.5,1617814868.9874237,6.44
212,0.515,46.0,4.588,45.0,1617814870.0348155,7.923
213,0.357,46.5,4.674,44.5,1617814871.0837336,7.936
214,0.399,44.5,4.02,44.5,1617814872.139585,7.643
215,0.361,45.0,3.926,44.0,1617814873.1875434,7.16
216,0.358,46.5,4.617,45.0,1617814874.2348702,7.816
217,1.353,43.5,0.492,43.0,1617814875.287516,4.594
218,0.872,42.0,0.0,42.5,1617814876.3372748,3.317
219,0.398,45.0,4.173,45.0,1617814877.3830996,7.658
220,0.32,45.5,3.913,44.5,1617814878.4332821,7.228
221,0.317,46.5,4.753,45.5,1617814879.4827769,7.923
222,2.019,44.5,1.456,43.5,1617814880.5624492,5.761
223,0.323,45.5,3.507,44.5,1617814881.6092076,6.451
224,0.358,47.0,4.729,46.0,1617814882.6586652,7.789
225,0.357,47.0,4.761,46.0,1617814883.7070484,7.896
226,0.995,43.0,0.0,43.0,1617814884.7524488,3.322
227,1.03,44.5,0.0,44.0,1617814885.8311298,4.769
228,0.362,45.5,3.496,44.5,1617814886.8763702,6.481
229,0.396,47.0,4.595,45.5,1617814887.9232585,7.764
230,0.433,47.0,4.88,46.0,1617814888.9698393,8.357
231,0.358,46.5,4.491,46.0,1617814890.0157342,7.816
232,0.44,47.0,3.966,45.5,1617814891.0614343,7.091
233,0.358,47.0,4.61,46.0,1617814892.110157,7.71
234,1.014,45.5,1.785,45.0,1617814893.170381,5.648
235,0.829,44.0,0.0,43.5,1617814894.221138,3.519
236,0.56,46.0,3.48,45.0,1617814895.27681,6.77
237,0.399,46.0,3.987,45.5,1617814896.3230817,7.216
238,0.356,47.0,4.746,46.5,1617814897.3731298,7.91
239,0.321,47.0,4.093,46.0,1617814898.4195669,7.142
240,0.323,46.0,3.513,45.5,1617814899.4651484,6.461
241,0.359,48.0,4.585,46.5,1617814900.513502,7.695
242,0.396,48.0,4.872,47.0,1617814901.5640576,8.2
243,0.91,44.0,0.165,43.5,1617814902.61275,3.566
244,0.987,43.5,0.0,44.0,1617814903.6661701,3.585
245,0.361,46.5,3.531,46.0,1617814904.711494,6.621
246,0.36,47.5,4.073,46.0,1617814905.7589126,7.296
247,0.429,48.5,5.136,47.0,1617814906.8150477,9.206
248,0.323,47.0,3.553,46.5,1617814907.8597054,6.41
249,0.321,47.5,4.126,46.0,1617814908.9089901,7.24
250,0.317,48.5,4.714,47.0,1617814909.9588313,8.042
251,0.559,48.0,4.066,46.5,1617814911.00451,7.507
252,0.83,44.5,0.0,44.5,1617814912.0541472,3.317
253,0.447,46.0,2.069,45.0,1617814913.1006527,5.685
254,0.32,47.5,3.947,46.0,1617814914.1496296,7.216
255,0.317,48.5,4.667,47.0,1617814915.196029,7.91
256,0.318,48.0,4.444,47.0,1617814916.242276,7.67
257,0.361,47.0,3.491,46.5,1617814917.292704,6.861
258,0.32,48.0,3.88,47.0,1617814918.3424091,7.228
259,0.392,50.0,4.958,47.5,1617814919.3968937,9.018
260,0.992,45.0,0.206,45.0,1617814920.448068,4.08
261,0.869,45.0,0.0,45.0,1617814921.5021608,3.679
262,0.437,47.5,4.04,46.5,1617814922.5577867,7.752
