,cpu_pwr,cpu_temp,gpu_pwr,gpu_temp,timestamp,tot_pwr
102,0.314,41.5,4.519,40.0,1614746769.811989,7.466
103,0.356,41.0,3.015,39.0,1614746770.8743696,5.643
104,0.277,40.5,3.134,39.5,1614746771.9303548,5.991
105,0.314,41.5,4.401,40.5,1614746772.9857388,7.36
106,0.314,42.0,4.59,40.5,1614746774.0437016,7.505
107,0.806,39.0,0.12,38.0,1614746775.0937235,3.386
108,2.16,40.0,0.04,38.0,1614746776.1467524,4.366
109,0.357,41.0,3.327,40.0,1614746777.1989005,6.219
110,0.275,42.0,4.25,40.5,1614746778.257824,7.281
111,0.391,42.0,4.621,41.0,1614746779.311894,7.951
112,0.316,41.5,3.79,41.0,1614746780.3645084,6.899
113,0.316,41.5,3.948,40.5,1614746781.4275203,6.605
114,0.314,42.5,4.479,40.5,1614746782.4821868,7.348
115,0.277,40.5,3.095,40.0,1614746783.5466545,5.683
116,0.807,39.5,0.121,38.5,1614746784.5973241,3.542
117,0.473,41.5,3.739,40.5,1614746785.646373,7.202
118,0.827,41.5,3.824,40.5,1614746786.6918457,6.978
119,0.314,43.0,4.401,41.0,1614746787.748544,7.387
120,0.316,42.5,3.948,40.5,1614746788.8262017,6.605
121,0.317,41.5,3.174,40.5,1614746789.8853822,6.061
122,0.314,43.0,4.401,41.0,1614746790.9532464,7.281
123,0.314,43.0,4.479,41.5,1614746792.0051088,7.584
124,0.925,40.0,0.161,39.5,1614746793.0539243,3.462
125,0.887,41.0,0.12,39.0,1614746794.1223218,4.08
126,0.317,41.5,3.293,40.5,1614746795.1765847,6.031
127,0.354,43.0,4.29,41.5,1614746796.2311985,7.202
128,0.39,43.0,4.801,42.0,1614746797.282685,8.393
129,0.317,41.5,2.817,41.5,1614746798.3396378,6.219
130,0.276,43.0,3.869,41.5,1614746799.3976364,6.752
131,0.354,43.5,4.322,41.5,1614746800.4540513,7.387
132,0.316,43.0,3.948,41.5,1614746801.5075333,6.712
133,0.846,40.0,0.161,39.5,1614746802.555232,3.623
134,0.554,41.5,2.729,41.0,1614746803.6124115,6.526
135,0.316,43.5,3.869,41.5,1614746804.6634743,6.673
136,0.314,43.0,4.401,42.0,1614746805.7166796,7.387
137,0.63,43.5,3.863,42.0,1614746806.7624536,6.87
138,0.277,42.0,3.253,41.5,1614746807.8152654,6.1
139,0.276,43.5,4.218,42.0,1614746808.8740766,7.124
140,0.351,44.0,4.801,42.5,1614746809.9334753,8.354
141,0.846,40.5,0.241,40.5,1614746810.9823637,3.582
142,0.767,40.0,0.04,40.0,1614746812.0312636,3.502
143,0.317,42.5,3.09,41.0,1614746813.0908754,6.328
144,0.355,43.5,3.751,42.0,1614746814.1404161,6.633
145,0.312,44.5,4.958,42.5,1614746815.2033255,8.471
146,0.911,43.5,3.288,42.0,1614746816.2451952,6.367
147,0.276,44.0,3.909,42.0,1614746817.2993758,6.752
148,0.314,44.0,4.361,42.0,1614746818.357729,7.466
149,0.355,43.5,3.948,42.0,1614746819.4188743,6.712
150,0.686,41.0,0.04,40.0,1614746820.463706,3.185
151,0.554,43.0,3.243,41.5,1614746821.5170407,6.328
152,0.355,43.5,3.751,42.0,1614746822.5723345,6.712
153,0.275,45.0,4.401,42.5,1614746823.624663,7.466
154,0.276,44.0,3.902,42.5,1614746824.6801412,6.899
155,0.316,44.0,3.327,42.5,1614746825.7286735,6.259
156,0.394,44.0,3.711,42.5,1614746826.782015,6.791
157,0.351,45.0,4.762,43.0,1614746827.8471687,8.432
158,1.205,42.0,0.16,41.0,1614746828.8937066,3.898
159,0.686,41.5,0.04,40.0,1614746829.9418817,3.185
160,0.396,44.0,3.361,42.5,1614746830.988075,6.407
161,0.315,44.0,3.948,42.5,1614746832.0396962,6.712
162,0.312,45.0,4.88,43.0,1614746833.0982614,8.393
163,0.317,43.5,3.333,42.5,1614746834.1500273,5.952
164,0.276,44.0,3.711,42.5,1614746835.208082,6.752
165,1.135,45.5,4.301,43.5,1614746836.2516735,8.055
166,0.315,45.0,3.902,43.0,1614746837.3084462,6.899
167,0.806,41.5,0.04,41.0,1614746838.3570569,3.542
168,0.634,44.0,2.812,43.0,1614746839.40786,6.298
169,0.315,44.5,3.83,43.0,1614746840.456971,6.752
170,0.314,45.5,4.558,43.5,1614746841.5112317,7.466
171,0.315,45.5,4.139,43.5,1614746842.5609515,6.938
172,0.316,44.5,3.406,43.0,1614746843.617567,6.259
173,0.316,45.0,3.751,43.5,1614746844.6697423,6.831
174,0.312,46.5,4.762,44.0,1614746845.7297115,8.51
175,1.324,42.5,0.241,42.0,1614746846.7730126,3.778
