cpu_temp,gpu_temp,timestamp
30.856,29.081,1612630828.0518882
30.122,29.04,1612630829.0833983
32.163,31.04,1612630830.1163018
31.163,32.04,1612630831.151185
31.099,34.122,1612630832.1662655
33.163,33.04,1612630833.2045019
34.204,34.081,1612630834.2313385
